target_rva,name,source_tag,source_sha256,source_rva
0x00007860,inflate,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00007860
0x000091C0,inflateEnd,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x000091C0
0x00009250,inflateInit2,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00009250
0x00009440,inflateReset2,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00009440
0x001DFF80,MemoryManager::GetSingleton,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x001DFF80
0x001E61D0,BSStringT::Set,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x001E61D0
0x0022D360,IsPlayerInDialogue,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0022D360
0x0022D3A0,BSSpinLock::Lock,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0022D3A0
0x00231BF0,AnimationEventLookupSingleton::GetClipGeneratorForEvent,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00231BF0
0x002471A0,BGSObjectInstanceExtra::ctor,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002471A0
0x00247600,BGSObjectInstanceExtra::GetNumMods,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00247600
0x00247C70,BGSObjectInstanceExtra::LoadAndAttach3D,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00247C70
0x002480F0,BGSObjectInstanceExtra::AddMod,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002480F0
0x00248610,BGSObjectInstanceExtra::RemoveMod,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00248610
0x00248880,BGSObjectInstanceExtra::RemoveInvalidMods,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00248880
0x00248D70,BGSObjectInstanceExtra::MakeCopy,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00248D70
0x00248F40,BGSObjectInstanceExtra::AttachModToReference,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00248F40
0x00249320,BGSObjectInstanceExtra::GenerateName,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00249320
0x0024D440,PluginsFile::CollectFiles,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0024D440
0x00252280,BGSMod::Container::GetData,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00252280
0x00254DD0,BGSMod::Template::Items::CreateInstanceDataForObjectAndExtra,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00254DD0
0x0025C640,hknpPhysicsSystemData::hknpPhysicsSystemData,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0025C640
0x00263720,EffectItem::Compare,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00263720
0x00263B80,EffectItem::GetCost,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00263B80
0x00263C50,EffectItem::GetDescription,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00263C50
0x0026B030,MagicItem::IsPermanent,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0026B030
0x0026C660,MagicItem::GetCost,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0026C660
0x0026CD90,MagicItem::ShouldAdjustEffects,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0026CD90
0x00272380,BaseExtraList::AddExtra,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00272380
0x002724E0,BaseExtraList::RemoveExtra,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002724E0
0x00272540,BaseExtraList::UnlinkExtra,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00272540
0x00272650,BaseExtraList::GetExtraData,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00272650
0x00272730,ExtraDataList::ExtraDataList,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00272730
0x00275D90,ExtraDataList::CompareList,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00275D90
0x0027A8E0,ExtraDataList::SetOwnership,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027A8E0
0x0027B120,ExtraDataList::SetHealthPerc,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0027B120
