target_rva,name,source_tag,source_sha256,source_rva
0x00001090,BGSAIWorldLocation::IsInSameSpaceAs,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x0021BB10
0x00001140,BGSAIWorldLocation::IsValid,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x0021BBC0
0x000072F0,BGSAIWorldLocationInteriorCell::Clone,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x0021C0A0
0x00007E80,BGSAIWorldLocationPointRadius::IsRefAt,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x0021C710
0x00009570,BGSAIWorldLocationPrimitive::Allocate,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x0021D9C0
0x0000F9F0,BGSProcedureHeadtrackExecState::CleanUp,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00220380
0x000151E0,BGSProcedureRange::UpdateStartIdlingCooldown,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00223640
0x0001B8E0,IsPlayerInDialogue,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0022D360
0x00023F90,TESObjectREFR::HasInteraction,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x006CD7D0
0x00023F90,TESObjectREFR::HasInteraction,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x006CD7B0
0x000276C0,BGSProcedureStayAway::Process,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x0022EF00
0x00027CF0,BGSProcedureStayAwayExecState::CleanUp,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x0022F540
0x0003BF70,BGSObjectInstanceExtra::AddMod,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x002480F0
0x0003CDC0,BGSObjectInstanceExtra::GenerateName,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00249320
0x00049E30,BGSForcedLocRefType::CopyComponent,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x0024F7D0
0x00051400,BGSMod::Template::Items::Load,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00254A50
0x00052D30,BGSModelMaterialSwap::ClearDataComponent,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00255850
0x000531B0,BGSModelMaterialSwap::Apply,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00255D40
0x00054B40,BGSPreviewTransform::GetPreviewTransform,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00256A60
0x00058F30,BGSConveyorBelt::ConveyorBelt::OnInit,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00258270
0x0005ACD0,BGSMotorAction::FanMotor::OnDetach,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x0025A400
0x00062F70,TESQuest::ReleaseAllReservedForms,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x006707B0
0x000659B0,BSScript::Object::LoadObject,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x020E1990
0x0006AFC0,AlchemyItem::IsFood,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00262340
0x0006CFE0,EffectItem::Compare,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x00263720
0x0006F870,EffectSetting::ClearData,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x002660A0
0x00072BC0,EffectSettingCollection::CreateDefaultEffects,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00267EE0
0x00075C70,IngredientItem::InitFromChunk,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x0026A260
0x000779A0,MagicItem::IsPermanent,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0026B030
0x00079470,MagicItem::ShouldAdjustEffects,AE-bytesig-port,e555c6c0e7aba3e9e4801c2e5e11e3a76b42ce080683b4b9c1cf074c2030b737,0x0026CD90
0x0007C900,ScrollItem::LoadMagicItemChunk,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x0026FB70
0x0007D160,SpellItem::GetFixedCastDuration,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x0026FF10
0x0007D7B0,SpellItem::GetAssociatedSkill,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00270590
0x0007D830,SpellItem::AdjustCost,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00270610
0x0007DAF0,SpellItem::IsTwoHanded,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x002708C0
0x0007DB50,SpellItem::LoadMagicItemChunk,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x00270980
0x0008A080,ExtraDataList::DecTransCellCount,221-PDB-bytesig-port,488015e2010308bfa164d3720cb618deea7e1c098b1d61af530d258a6f17d27b,0x0027E990
